province_state,date,confirmed,deaths,recovered,confirmed.log,deaths.log
Alabama,2020-03-13,5,0,-Inf,0.6989700043360189,-Inf
Alabama,2020-03-14,6,0,-Inf,0.7781512503836436,-Inf
Alabama,2020-03-15,12,0,-Inf,1.0791812460476249,-Inf
Alabama,2020-03-16,29,0,-Inf,1.462397997898956,-Inf
Alabama,2020-03-17,39,0,-Inf,1.591064607026499,-Inf
Alabama,2020-03-18,46,0,-Inf,1.662757831681574,-Inf
Alabama,2020-03-19,78,0,-Inf,1.8920946026904804,-Inf
Alabama,2020-03-20,83,0,-Inf,1.919078092376074,-Inf
Alabama,2020-03-21,131,0,-Inf,2.1172712956557644,-Inf
Alabama,2020-03-22,157,0,-Inf,2.1958996524092336,-Inf
Alabama,2020-03-23,196,0,-Inf,2.292256071356476,-Inf
Alabama,2020-03-24,242,0,-Inf,2.383815365980431,-Inf
Alabama,2020-03-25,381,1,-Inf,2.5809249756756194,0
Alabama,2020-03-26,517,1,-Inf,2.7134905430939424,0
Alabama,2020-03-27,587,4,-Inf,2.7686381012476144,0.6020599913279624
Alabama,2020-03-28,694,4,-Inf,2.841359470454855,0.6020599913279624
Alabama,2020-03-29,825,10,-Inf,2.916453948549925,1
Alabama,2020-03-30,899,10,-Inf,2.9537596917332287,1
Alabama,2020-03-31,987,23,-Inf,2.9943171526696366,1.3617278360175928
Alabama,2020-04-01,1060,27,-Inf,3.0253058652647704,1.4313637641589874
Alabama,2020-04-02,1233,32,-Inf,3.0909630765957314,1.505149978319906
Alabama,2020-04-03,1495,38,-Inf,3.1746411926604483,1.5797835966168101
Alabama,2020-04-04,1614,44,-Inf,3.2079035303860515,1.6434526764861874
Alabama,2020-04-05,1765,45,-Inf,3.2467447097238415,1.6532125137753437
Alabama,2020-04-06,1952,49,-Inf,3.290479813330673,1.6901960800285136
Alabama,2020-04-07,2169,64,-Inf,3.336259552014193,1.806179973983887
Alabama,2020-04-08,2328,66,-Inf,3.3669829759778507,1.8195439355418688
